title,year,codec,resolution,size_gb,bpp,hdr_status,cambi_score,block_mean,blur_mean,encoder_settings,verdict,audio,relative_path
The Sound of Music,1965,HEVC,2160p,19.38,0.0799,DV/HDR10,0.1,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,The.Sound.of.Music.1965.2160p.DSNP.WEB-DL.DD+5.1.Atmos.DoVi.HDR.H.265-playWEB/The.Sound.of.Music.1965.2160p.DSNP.WEB-DL.DD+5.1.Atmos.DoVi.HDR.H.265-playWEB.mkv
The Terminator,1984,AV1,2160p,6.7,0.0449,HDR10,0.0,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,The.Terminator.1984.REMASTERED-2160p.BluRay.HDR10.Encode.AV1.DTS.5.1-R and H/The.Terminator.1984.REMASTERED-2160p.BluRay.HDR10.Encode.AV1.DTS.5.1-R_and_H/The.Terminator.1984.REMASTERED-2160p.BluRay.HDR10.Encode.AV1.DTS.5.1-R_and_H.mkv
The Truman Show,1998,HEVC,2160p,10.63,0.0743,DV/HDR10,0.069,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,The.Truman.Show.1998.2160p.PMTP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/The.Truman.Show.1998.2160p.PMTP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
The Wolf of Wall Street,2013,HEVC,2160p,17.43,0.0698,DV/HDR10,1.182,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,The.Wolf.of.Wall.Street.2013.2160p.PMTP.WEB-DL.DDP5.1.HDR.DV.HEVC-PiRaTeS/The.Wolf.of.Wall.Street.2013.2160p.PMTP.WEB-DL.DDP5.1.HDR.DV.HEVC-PiRaTeS.mkv
The Wolverine,2013,AV1,2160p,5.55,0.0428,DV/HDR10,0.631,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,The.Wolverine.2013.Theatrical.Cut.2160p.AMZN.WEB.DV.HDR10.10.bit.Encode.AV1.DTS.5.1-R&H.mkv/The.Wolverine.2013.Theatrical.Cut.2160p.AMZN.WEB.DV.HDR10.10.bit.Encode.AV1.DTS.5.1-R&H.mkv
The.Usual.Suspects.1995-2160p.BluRay.HDR10.10.bit.Encode.AV1.DDP.5.1-R&H.mkv-xpost,0,AV1,2160p,5.13,0.047,HDR10,1.511,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,The.Usual.Suspects.1995-2160p.BluRay.HDR10.10.bit.Encode.AV1.DDP.5.1-R&H.mkv-xpost/The.Usual.Suspects.1995-2160p.BluRay.HDR10.10.bit.Encode.AV1.DDP.5.1-R&H.mkv-xpost.mkv
Toy Story,1995,HEVC,2160p,8.3,0.0737,DV/HDR10,0.285,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Toy.Story.1995.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Toy.Story.1995.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Toy Story 3,2010,HEVC,2160p,10.42,0.0732,DV/HDR10,0.617,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Toy.Story.3.2010.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Toy.Story.3.2010.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
V.for.Vendetta.2005-2160p.BluRay.DV.HDR10.Encode.AV1.DTS.5.1-RandH,0,AV1,2160p,9.48,0.0515,DV/HDR10,0.174,0.0,0.0,None,STARVED-BUT-CLEAN,DTS 6ch,V.for.Vendetta.2005-2160p.BluRay.DV.HDR10.Encode.AV1.DTS.5.1-RandH/V.for.Vendetta.2005-2160p.BluRay.DV.HDR10.Encode.AV1.DTS.5.1-RandH.mkv
Your Name,2016,HEVC,2160p,9.96,0.0672,HDR10,0.02,0.0,0.0,psy-rd=0.40 rc=abr bitrate=12000 qcomp=0.60 aq-mode=3,STARVED-BUT-CLEAN,EAC3 6ch,Your Name 2016 UHD BluRay 2160p DDP 5 1 HDR x265-hallowed/Your Name 2016 UHD BluRay 2160p DDP 5 1 HDR x265-hallowed.mkv
