relative_path,title,year,codec,resolution,width,height,fps,duration_sec,size_gb,bitrate_kbps,bpp,status_flag,audio
Children.of.Heaven.1997.1080p.BluRay.FLAC2.0.x264-VietHD/Children.of.Heaven.1997.1080p.BluRay.FLAC2.0.x264-VietHD.mkv,Children of Heaven,1997,H264,1080p,1920,1080,23.976,5277.01,12.84,20899.0,0.4204,RES-ANOMALY,FLAC 2ch
Chinatown.1974.2160p.PMTP.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS/Chinatown.1974.2160p.PMTP.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS.mkv,Chinatown,1974,HEVC,2160p,3840,2160,23.976,7829.89,13.17,14449.1,0.0727,STARVED,EAC3 6ch
Cinema.Paradiso.1988.Theatrical.Cut.UHD.BluRay.2160p.DD.5.1.DV.HDR.x265-BHDStudio/Cinema.Paradiso.1988.Theatrical.Cut.UHD.BluRay.2160p.DD.5.1.DV.HDR.x265-BHDStudio.mp4,Cinema Paradiso,1988,HEVC,2160p,3580,2160,23.976,7375.14,14.31,16672.6,0.0899,OPTIMAL,AC3 6ch
Citizen.Kane.1941.2160p.iT.WEB-DL.Hybrid.H265.DV.HDR10+.DDP.2.0.English-HONE/Citizen.Kane.1941.2160p.iT.WEB-DL.Hybrid.H265.DV.HDR10+.DDP.2.0.English-HONE.mkv,Citizen Kane,1941,HEVC,2160p,2960,2160,23.976,7163.2,20.95,25122.4,0.1639,REFERENCE/HEAVY,EAC3 2ch
City Lights 1931 1080p BluRay FLAC1 0 x264-CtrlHD/City Lights 1931 1080p BluRay FLAC1 0 x264-CtrlHD.mkv,City Lights,1931,H264,1080p,1288,1080,23.976,5207.24,11.0,18142.0,0.544,RES-ANOMALY,FLAC 1ch
City.of.God.2002.BluRay.1080p.DDP.5.1.x264-hallowed/City.of.God.2002.BluRay.1080p.DDP.5.1.x264-hallowed.mkv,City of God,2002,H264,1080p,1920,1080,23.976,7768.77,11.44,12645.3,0.2543,RES-ANOMALY,EAC3 6ch
Coco-2017-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-/Coco-2017-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-.mkv,Coco-2017-2160p DSNP WEB-DL Hybrid H265 DV HDR DDP Atmos 5.1 English-HONE-,0,HEVC,2160p,3840,2160,23.976,6299.42,12.7,17313.5,0.0871,OPTIMAL,EAC3 6ch
Come.And.See.1985.1080p.BluRay.DD+3.1.X264-ZQ/Come.And.See.1985.1080p.BluRay.DD+3.1.X264-ZQ.mkv,Come And See,1985,H264,1080p,1476,1080,24.0,8569.12,25.06,25119.2,0.6566,RES-ANOMALY,EAC3 4ch
Dangal.2016.1080p.BluRay.DD5.1.x264-playHD/Dangal.2016.1080p.BluRay.DD5.1.x264-playHD.mkv,Dangal,2016,H264,1080p,1920,804,24.0,9653.84,18.14,16144.1,0.4358,RES-ANOMALY,AC3 6ch
Dark.Phoenix.2019.2160p.UHD.BluRay.TrueHD.7.1.HDR.x265-CtrlHD/Dark.Phoenix.2019.2160p.UHD.BluRay.TrueHD.7.1.HDR.x265-CtrlHD.mkv,Dark Phoenix,2019,HEVC,2160p,3840,1608,23.976,6836.16,20.41,25646.0,0.1732,REFERENCE/HEAVY,TRUEHD 8ch
Das.Boot.1981.Directors.Cut.German.DL.1080p.BDRip.AV1-WOTT/Das.Boot.1981.Directors.Cut.German.DL.1080p.BDRip.AV1-WOTT.mkv,Das Boot,1981,AV1,1080p,1920,1080,23.976,12488.64,19.97,13732.5,0.2762,RES-ANOMALY,DTS 6ch
